# 2km 경쟁점 폐업 대조 — 판정칸(영업/폐업/모름)은 비어 있다. 채우지 않은 칸은 '모름'이다.
등급,매장명,매장코드,구분,거리m,상호,주소,위도,경도,공식DB,같은자리의심,카카오맵링크,판정,메모
-,발산역점,20251121428,500m안,427,매가쓰리팝pc방,서울 강서구 강서로 426,37.563221,126.840594,,,"https://map.kakao.com/link/map/%EB%A7%A4%EA%B0%80%EC%93%B0%EB%A6%AC%ED%8C%9Dpc%EB%B0%A9,37.563220852596224,126.84059353004811",,
B,전대후문점,20231215406,500m밖,519,탑독PC,전남광주통합특별시 북구 우치로 128,35.178830,126.912307,,블랑PC,"https://map.kakao.com/link/map/%ED%83%91%EB%8F%85PC,35.1788299970838,126.912306767607",,
B,전대후문점,20231215406,500m밖,519,블랑PC,전남광주통합특별시 북구 우치로 128,35.178830,126.912307,,탑독PC,"https://map.kakao.com/link/map/%EB%B8%94%EB%9E%91PC,35.17882999712679,126.91230676760604",,
B,전대후문점,20231215406,500m밖,623,소나무피씨클럽,전남광주통합특별시 북구 호동로 70,35.177756,126.918217,,그르르 PC카페,"https://map.kakao.com/link/map/%EC%86%8C%EB%82%98%EB%AC%B4%ED%94%BC%EC%94%A8%ED%81%B4%EB%9F%BD,35.177756109636,126.91821743843",,
C,전대후문점,20231215406,500m밖,625,그르르 PC카페,전남광주통합특별시 북구 호동로 70,35.177754,126.918246,,소나무피씨클럽,"https://map.kakao.com/link/map/%EA%B7%B8%EB%A5%B4%EB%A5%B4%20PC%EC%B9%B4%ED%8E%98,35.177754326149,126.918245983308",,
C,전대후문점,20231215406,500m밖,801,청담PC방,전남광주통합특별시 북구 자미로 64,35.171603,126.904717,,,"https://map.kakao.com/link/map/%EC%B2%AD%EB%8B%B4PC%EB%B0%A9,35.1716025927123,126.904717150282",,
C,전대후문점,20231215406,500m밖,840,스타PC,전남광주통합특별시 북구 자미로 61,35.171513,126.904301,,인터게이트 전대점,"https://map.kakao.com/link/map/%EC%8A%A4%ED%83%80PC,35.171513030445,126.904301216184",,
C,전대후문점,20231215406,500m밖,847,인터게이트 전대점,전남광주통합특별시 북구 자미로 61,35.171474,126.904239,,스타PC / 테디PC방,"https://map.kakao.com/link/map/%EC%9D%B8%ED%84%B0%EA%B2%8C%EC%9D%B4%ED%8A%B8%20%EC%A0%84%EB%8C%80%EC%A0%90,35.1714742226614,126.904238691239",,
C,전대후문점,20231215406,500m밖,855,테디PC방,전남광주통합특별시 북구 자미로 59,35.171289,126.904228,,인터게이트 전대점,"https://map.kakao.com/link/map/%ED%85%8C%EB%94%94PC%EB%B0%A9,35.171289435863365,126.90422793065586",,
C,전대후문점,20231215406,500m밖,1018,아이센스 블랙라벨PC존 전대상대점,전남광주통합특별시 북구 설죽로202번길 90,35.177243,126.902405,,라인PC,"https://map.kakao.com/link/map/%EC%95%84%EC%9D%B4%EC%84%BC%EC%8A%A4%20%EB%B8%94%EB%9E%99%EB%9D%BC%EB%B2%A8PC%EC%A1%B4%20%EC%A0%84%EB%8C%80%EC%83%81%EB%8C%80%EC%A0%90,35.1772432472423,126.902405180087",,
C,전대후문점,20231215406,500m밖,1037,라인PC,전남광주통합특별시 북구 설죽로202번길 88,35.177259,126.902186,,아이센스 블랙라벨PC존 전대상대점 / 로드PC방 상대점,"https://map.kakao.com/link/map/%EB%9D%BC%EC%9D%B8PC,35.17725929454415,126.90218560003731",,
C,전대후문점,20231215406,500m밖,1048,로드PC방 상대점,전남광주통합특별시 북구 설죽로202번길 84,35.177198,126.902032,,라인PC / 긱스타PC 상대점,"https://map.kakao.com/link/map/%EB%A1%9C%EB%93%9CPC%EB%B0%A9%20%EC%83%81%EB%8C%80%EC%A0%90,35.177197878145,126.902031981113",,
C,전대후문점,20231215406,500m밖,1067,긱스타PC 상대점,전남광주통합특별시 북구 설죽로202번길 80,35.177173,126.901805,,로드PC방 상대점,"https://map.kakao.com/link/map/%EA%B8%B1%EC%8A%A4%ED%83%80PC%20%EC%83%81%EB%8C%80%EC%A0%90,35.17717335753227,126.90180476527082",,
