매장명,매장코드,개점일,매출기간,거리m,상호,주소,위도,경도,등급,판정,메모
송도점,20260515431,2026-05-15,2026-05 ~ 2026-08,68,레드포스 PC아레나 송도점,인천 연수구 신송로 121,37.395456,126.651966,-,,
송도점,20260515431,2026-05-15,2026-05 ~ 2026-08,114,쇼미더VR 송도점,인천 연수구 컨벤시아대로 81,37.394928,126.650188,-,,
송도점,20260515431,2026-05-15,2026-05 ~ 2026-08,352,갤러리PC카페 송도점,인천 연수구 해돋이로 112,37.391987,126.650134,-,,
송도점,20260515431,2026-05-15,2026-05 ~ 2026-08,377,레인보우캐슬 송도2호점,인천 연수구 신송로 161,37.397595,126.648748,-,,
장산점,20260320430,2026-03-20,2026-03 ~ 2026-08,564,피씨넷플레이스,부산 해운대구 대천로 92-22,35.173451,129.173351,A,영업,
장산점,20260320430,2026-03-20,2026-03 ~ 2026-08,792,메타PC 해운대중동점,부산 해운대구 좌동순환로 506,35.166171,129.168731,A,영업,
장산점,20260320430,2026-03-20,2026-03 ~ 2026-08,1426,PC베네,부산 해운대구 중동1로 33-1,35.162511,129.163235,A,영업,
장산점,20260320430,2026-03-20,2026-03 ~ 2026-08,1474,레드포스PC아레나 해운대점,부산 해운대구 중동1로 30,35.162606,129.162556,A,영업,
장산점,20260320430,2026-03-20,2026-03 ~ 2026-08,1488,아수라발발타 해운대점,부산 해운대구 구남로29번길 38,35.162627,129.162358,A,폐업,
장산점,20260320430,2026-03-20,2026-03 ~ 2026-08,1657,T1베이스캠프 부산점,부산 해운대구 구남로 37,35.161052,129.161362,A,영업,
장산점,20260320430,2026-03-20,2026-03 ~ 2026-08,1657,OXPC 해운대해수욕장점,부산 해운대구 구남로 29,35.161507,129.161003,A,영업,
장산점,20260320430,2026-03-20,2026-03 ~ 2026-08,105,OXPC 장산역점,부산 해운대구 해운대로 814,35.169833,129.177426,-,,
장산점,20260320430,2026-03-20,2026-03 ~ 2026-08,105,아이센스리그PC방 장산역점,부산 해운대구 양운로42번길 18,35.168495,129.177488,-,,
장산점,20260320430,2026-03-20,2026-03 ~ 2026-08,108,젠PC방,부산 해운대구 세실로27번길 23,35.168846,129.177779,-,,
장산점,20260320430,2026-03-20,2026-03 ~ 2026-08,143,아테나PC방 장산본점,부산 해운대구 세실로27번길 19,35.168512,129.178018,-,,
장산점,20260320430,2026-03-20,2026-03 ~ 2026-08,154,아테나PC 장산2호점,부산 해운대구 양운로42번길 14,35.168106,129.177774,-,,
장산점,20260320430,2026-03-20,2026-03 ~ 2026-08,197,엠피씨존,부산 해운대구 세실로 48,35.169720,129.178684,-,,
장산점,20260320430,2026-03-20,2026-03 ~ 2026-08,209,컴온PC방,부산 해운대구 세실로27번길 11,35.167948,129.178418,-,,
장산점,20260320430,2026-03-20,2026-03 ~ 2026-08,223,케이스타피씨 카페 해운대좌동점,부산 해운대구 대천로 205,35.170378,129.178575,-,,
장산점,20260320430,2026-03-20,2026-03 ~ 2026-08,286,존버pc 장산점,부산 해운대구 양운로80번길 20,35.171527,129.175433,-,,
장산점,20260320430,2026-03-20,2026-03 ~ 2026-08,301,로엘PC 장산본점,부산 해운대구 세실로69번길 24,35.171848,129.176303,-,,
장산점,20260320430,2026-03-20,2026-03 ~ 2026-08,345,옵티멈존PC카페 장산역점,부산 해운대구 세실로 87,35.172211,129.176048,-,,
장산점,20260320430,2026-03-20,2026-03 ~ 2026-08,414,메타PC 해운대직영점,부산 해운대구 좌동로 89,35.172510,129.174684,-,,
장산점,20260320430,2026-03-20,2026-03 ~ 2026-08,423,로엘더블랙,부산 해운대구 좌동로 95,35.172819,129.175393,-,,
평내호평점,20260626436,2026-06-26,2026-06 ~ 2026-08,719,스타웹스pc방,경기 남양주시 늘을3로 65-12,37.660234,127.247880,A,영업,
평내호평점,20260626436,2026-06-26,2026-06 ~ 2026-08,721,유에프오 UFO게임 호평점,경기 남양주시 늘을3로 65-12,37.660248,127.247890,A,폐업,
평내호평점,20260626436,2026-06-26,2026-06 ~ 2026-08,1212,열정PC테크,경기 남양주시 평내로29번길 49,37.645860,127.235658,A,영업,
평내호평점,20260626436,2026-06-26,2026-06 ~ 2026-08,1281,겜덕 GAMEDUCK,경기 남양주시 경춘로1256번길 10,37.645670,127.234719,A,폐업,
평내호평점,20260626436,2026-06-26,2026-06 ~ 2026-08,1288,퍼닛PC,경기 남양주시 평내로29번길 41,37.645416,127.234988,A,영업,
평내호평점,20260626436,2026-06-26,2026-06 ~ 2026-08,1335,캐비넷PC 평내점,경기 남양주시 평내로29번안길 34,37.645060,127.234686,A,영업,
평내호평점,20260626436,2026-06-26,2026-06 ~ 2026-08,1363,수피아pc방,경기 남양주시 의안로 129-24,37.643364,127.237549,A,폐업,
평내호평점,20260626436,2026-06-26,2026-06 ~ 2026-08,54,펀&조이게임랜드 호평점,경기 남양주시 호평로46번길 14,37.654853,127.244515,-,,
평내호평점,20260626436,2026-06-26,2026-06 ~ 2026-08,66,퍼닛PC 호평점,경기 남양주시 늘을2로 26,37.655089,127.244107,-,,
평내호평점,20260626436,2026-06-26,2026-06 ~ 2026-08,135,PC토랑,경기 남양주시 늘을2로 32,37.655702,127.243951,-,,
평내호평점,20260626436,2026-06-26,2026-06 ~ 2026-08,412,봉PC방 호평점,경기 남양주시 호평로45번길 24,37.657839,127.246116,-,,
시흥배곧점,20240507410,2024-05-07,2024-06 ~ 2026-08,605,상떼PC방 정왕4동점,경기 시흥시 정왕신길로49번길 63,37.362870,126.730398,A,영업,
시흥배곧점,20240507410,2024-05-07,2024-06 ~ 2026-08,1135,데일리 PC Cafe 시흥배곧점,경기 시흥시 배곧4로 32-28,37.378163,126.725985,A,영업,
시흥배곧점,20240507410,2024-05-07,2024-06 ~ 2026-08,1236,에스투존피시방,경기 시흥시 옥구천동로 401,37.357086,126.729812,A,영업,
시흥배곧점,20240507410,2024-05-07,2024-06 ~ 2026-08,1655,듀오(DUO)PC방,경기 시흥시 옥구상가3길 25,37.354167,126.722610,A,영업,
시흥배곧점,20240507410,2024-05-07,2024-06 ~ 2026-08,1686,이에프씨 피씨 카페EFC PC CAFE,경기 시흥시 옥구상가1길 9,37.353892,126.722551,A,영업,
시흥배곧점,20240507410,2024-05-07,2024-06 ~ 2026-08,1707,와우팡팡,경기 시흥시 옥구상가2길 9,37.353342,126.723955,A,폐업,
시흥배곧점,20240507410,2024-05-07,2024-06 ~ 2026-08,1789,비타민PC방,경기 시흥시 옥구상가1길 23,37.353171,126.721619,A,영업,
시흥배곧점,20240507410,2024-05-07,2024-06 ~ 2026-08,1957,본피씨방,경기 시흥시 역전로 304,37.352467,126.738923,A,영업,
시흥배곧점,20240507410,2024-05-07,2024-06 ~ 2026-08,84,레벨업PC방 배곧점,경기 시흥시 서울대학로278번길 26,37.368665,126.728173,-,,
시흥배곧점,20240507410,2024-05-07,2024-06 ~ 2026-08,124,펀앤펀,경기 시흥시 서울대학로278번길 26,37.368893,126.727828,-,,
시흥배곧점,20240507410,2024-05-07,2024-06 ~ 2026-08,161,스토리PC랩 배곧점,경기 시흥시 서울대학로278번길 21,37.369460,126.728006,-,,
시흥배곧점,20240507410,2024-05-07,2024-06 ~ 2026-08,171,더엑스PC 배곧신도시점,경기 시흥시 서울대학로278번길 19-8,37.369686,126.728386,-,,
시흥배곧점,20240507410,2024-05-07,2024-06 ~ 2026-08,176,주식회사시내7,경기 시흥시 서울대학로278번길 25-18,37.369774,126.729237,-,,
시흥배곧점,20240507410,2024-05-07,2024-06 ~ 2026-08,176,아레나PC캠프,경기 시흥시 서울대학로278번길 25-18,37.369788,126.729145,-,,
시흥배곧점,20240507410,2024-05-07,2024-06 ~ 2026-08,177,네옥스PC방,경기 시흥시 서울대학로278번길 25-18,37.369784,126.729231,-,,
시흥배곧점,20240507410,2024-05-07,2024-06 ~ 2026-08,197,아지트오락실,경기 시흥시 배곧3로 96,37.369827,126.729845,-,,
시흥배곧점,20240507410,2024-05-07,2024-06 ~ 2026-08,207,피에스타pc 시흥배곧점,경기 시흥시 서울대학로264번길 26-32,37.366605,126.727723,-,,
야탑점,20260706438,2026-07-06,2026-07 ~ 2026-08,733,피씨온,경기 성남시 분당구 벌말로 37,37.411335,127.138038,A,영업,
야탑점,20260706438,2026-07-06,2026-07 ~ 2026-08,734,더엑스PC방 분당야탑점,경기 성남시 분당구 벌말로 41,37.411626,127.138105,A,폐업,
야탑점,20260706438,2026-07-06,2026-07 ~ 2026-08,991,PC카페블랑,경기 성남시 분당구 판교로 437,37.405839,127.122528,A,영업,
